gr.id,smp.id,Repetition,Year,State,Type,JDctr,det.id,distance,vis.id,size
194,388,1,2008,MO,TREAT,-11,162,294,2008_1,1
195,389,1,2006,MO,CONTROL,4,NA,NA,2006_1,NA
195,389,1,2007,MO,CONTROL,-11,NA,NA,2007_1,NA
195,389,1,2008,MO,CONTROL,-12,NA,NA,2008_1,NA
195,390,1,2006,MO,TREAT,4,NA,NA,2006_1,NA
195,390,1,2007,MO,TREAT,-11,NA,NA,2007_1,NA
195,390,1,2008,MO,TREAT,-12,NA,NA,2008_1,NA
196,391,1,2006,MO,CONTROL,5,163,417.96,2006_1,1
196,391,1,2007,MO,CONTROL,-10,NA,NA,2007_1,NA
196,391,1,2008,MO,CONTROL,-13,NA,NA,2008_1,NA
196,392,1,2006,MO,TREAT,5,NA,NA,2006_1,NA
196,392,1,2007,MO,TREAT,-10,NA,NA,2007_1,NA
196,392,1,2008,MO,TREAT,-13,NA,NA,2008_1,NA
197,393,1,2006,MO,CONTROL,-5,164,461.94,2006_1,1
197,393,1,2007,MO,CONTROL,-1,NA,NA,2007_1,NA
197,393,1,2008,MO,CONTROL,-19,165,156,2008_1,1
197,393,1,2008,MO,CONTROL,-19,166,335,2008_1,1
197,394,1,2006,MO,TREAT,-5,NA,NA,2006_1,NA
197,394,1,2007,MO,TREAT,-1,NA,NA,2007_1,NA
197,394,1,2008,MO,TREAT,-19,NA,NA,2008_1,NA
198,395,1,2006,MO,CONTROL,-1,NA,NA,2006_1,NA
